Date,PX_CLOSE_1D,FX_TO_USD,POINT_VALUE,price_volatility,one_pct_move,block_value,icv_local,ivv_usd,forecast_combined,daily_cash_vol_target,volatility_scaler,subsystem_position,target_contracts,current_position,trades,trade_pnl_usd,carry_pnl_usd,pnl_usd,portfolio_nav_usd
2017-01-02,164.47,1.0,1000.0,,1.6447,1644.7,,,,125000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000000.0
2017-01-03,163.21,1.0,1000.0,0.77,1.6321,1632.1000000000001,1256.717,1256.717,-14.99474017167339,125000.0,99.46551212405019,-149.1459510342562,-106,-106.0,-106.0,0.0,-0.0,0.0,10000000.0
2017-01-04,163.19,1.0,1000.0,0.75,1.6319,1631.8999999999999,1223.925,1223.925,-15.821103709742443,125000.0,102.13044099924424,-161.58162989707748,-115,-115.0,-9.0,0.0,2120.0000000010846,2120.0000000010846,10060640.0
2017-01-05,163.54,1.0,1000.0,0.73,1.6354,1635.3999999999999,1193.8419999999999,1193.8419999999999,-15.7257828374148,125758.0,105.33889744204008,-165.65366255062315,-118,-118.0,-3.0,0.0,-40249.999999999345,-40249.999999999345,9958970.0
2017-01-06,162.84,1.0,1000.0,0.72,1.6284,1628.4,1172.448,1172.448,-16.442747434761635,124487.125,106.17709697999399,-174.58431889982336,-125,-125.0,-7.0,0.0,82599.99999999866,82599.99999999866,10116269.999999998
2017-01-09,162.95,1.0,1000.0,0.7,1.6295,1629.5,1140.6499999999999,1140.6499999999999,-16.53259594019331,126453.37499999999,110.86080305089203,-183.2816862445748,-131,-131.0,-6.0,0.0,-13749.999999998152,-13749.999999998152,10143600.0
2017-01-10,163.12,1.0,1000.0,0.68,1.6312,1631.2,1109.2160000000001,1109.2160000000001,-16.30326544426993,126795.0,114.3104679341084,-186.3633901788475,-133,-133.0,-2.0,0.0,-22270.000000002085,-22270.000000002085,10078279.999999998
2017-01-11,163.48,1.0,1000.0,0.66,1.6348,1634.8,1078.968,1078.968,-15.698436990039474,125978.49999999999,116.75832832855096,-183.29232603280983,-131,-131.0,2.0,0.0,-47879.999999998035,-47879.999999998035,10048775.0
2017-01-12,163.89,1.0,1000.0,0.65,1.6388999999999998,1638.8999999999999,1065.2849999999999,1065.2849999999999,-14.889182020524204,125609.6875,117.91181467870102,-175.56104711214974,-125,-125.0,6.0,0.0,-53709.999999999556,-53709.999999999556,10062300.0
2017-02-01,161.61,1.0,1000.0,0.72,1.6161,1616.1000000000001,1163.592,1163.592,-18.61863476393507,125778.75,108.09523441206196,-201.25856892401274,-144,-144.0,-19.0,0.0,284999.99999999657,284999.99999999657,10538559.999999998
2017-02-02,162.37,1.0,1000.0,0.7,1.6237000000000001,1623.7,1136.59,1136.59,-17.37840743111063,131731.99999999997,115.90107250635671,-201.41760597181616,-144,-144.0,0.0,0.0,-109439.99999999869,-109439.99999999869,10336809.999999998
2017-02-03,162.49,1.0,1000.0,0.68,1.6249000000000002,1624.9000000000003,1104.9320000000002,1104.9320000000002,-16.716853597723972,129210.12499999999,116.93943609199476,-195.48594329502754,-139,-139.0,5.0,0.0,-17280.000000000655,-17280.000000000655,10054929.999999998
2017-02-06,163.19,1.0,1000.0,0.67,1.6319,1631.8999999999999,1093.373,1093.373,-15.125740928575793,125686.62499999999,114.95310840856686,-173.875093672247,-124,-124.0,15.0,0.0,-97299.99999999841,-97299.99999999841,9910630.0
2017-02-07,163.38,1.0,1000.0,0.65,1.6338,1633.8,1061.97,1061.97,-14.220024094486629,123882.875,116.6538367373843,-165.8820369119914,-118,-118.0,6.0,0.0,-23559.999999999716,-23559.999999999716,9932580.0
2017-02-08,164.22,1.0,1000.0,0.64,1.6422,1642.2,1051.008,1051.008,-12.356440679005315,124157.25,118.13159367007673,-145.9686029500663,-104,-104.0,14.0,0.0,-99120.00000000041,-99120.00000000041,9821050.0
2017-02-09,164.23,1.0,1000.0,0.62,1.6422999999999999,1642.3,1018.226,1018.226,-11.723140490276643,122763.125,120.56569464932147,-141.34085766817904,-101,-101.0,3.0,0.0,-1039.9999999990541,-1039.9999999990541,9830650.000000002
2017-02-10,163.91,1.0,1000.0,0.61,1.6391,1639.1,999.8509999999999,999.8509999999999,-12.21652829073749,122883.12500000003,122.90143731415985,-150.1428885920734,-107,-107.0,-6.0,0.0,32319.999999999312,32319.999999999312,9840975.000000002
2017-03-01,164.93,1.0,1000.0,0.61,1.6493000000000002,1649.3000000000002,1006.0730000000001,1006.0730000000001,-10.04335654960692,123012.18750000003,122.26964395227783,-122.79976294062155,-88,-88.0,19.0,0.0,-109140.00000000109,-109140.00000000109,9599905.000000002
2017-03-02,164.61,1.0,1000.0,0.59,1.6461000000000001,1646.1000000000001,971.1990000000001,971.1990000000001,-11.883012403066669,119998.81250000003,123.55738885645478,-146.82339842717835,-105,-105.0,-17.0,0.0,28159.9999999994,28159.9999999994,9623600.000000002
2017-03-03,160.71,1.0,1000.0,0.82,1.6071000000000002,1607.1000000000001,1317.8220000000001,1317.8220000000001,-18.35793788260271,120295.00000000003,91.28319302606879,-167.57711872982037,-120,-120.0,-15.0,0.0,409500.0000000006,409500.0000000006,10040890.000000002
2017-03-06,160.88,1.0,1000.0,0.79,1.6088,1608.8,1270.952,1270.952,-19.86290614107233,125511.12500000003,98.75363113634506,-196.15341063513,-140,-140.0,-20.0,0.0,-20399.9999999985,-20399.9999999985,10002175.000000004
2017-03-07,161.3,1.0,1000.0,0.77,1.6130000000000002,1613.0000000000002,1242.0100000000002,1242.0100000000002,-20.0,125027.18750000006,100.66520197099865,-201.3304039419973,-144,-144.0,-4.0,0.0,-58800.00000000223,-58800.00000000223,9905435.000000002
2017-03-08,160.5,1.0,1000.0,0.76,1.605,1605.0,1219.8,1219.8,-20.0,123817.93750000003,101.50675315625516,-203.01350631251032,-145,-145.0,-1.0,0.0,115200.00000000163,115200.00000000163,10016575.000000004
2017-03-09,159.99,1.0,1000.0,0.75,1.5999,1599.9,1199.9250000000002,1199.9250000000002,-1.2623911908750916,125207.18750000006,104.34584453194995,-13.172527494155545,-9,-9.0,136.0,0.0,73949.99999999868,73949.99999999868,10091095.000000002
2017-03-10,159.01,1.0,1000.0,0.75,1.5900999999999998,1590.1,1192.5749999999998,1192.5749999999998,-2.572620645541857,126138.68750000003,105.7700249460202,-27.21061498556088,-19,-19.0,-10.0,0.0,8820.000000000164,8820.000000000164,10100715.000000002
2017-04-03,162.09,1.0,1000.0,0.84,1.6209,1620.9,1361.556,1361.556,12.444628046511724,126258.93750000003,92.7313584604673,115.40072642882637,82,82.0,101.0,0.0,-58520.00000000024,-58520.00000000024,10007005.000000002
2017-04-04,162.53,1.0,1000.0,0.82,1.6253,1625.3,1332.7459999999999,1332.7459999999999,14.298278336280788,125087.56250000003,93.8570158904998,134.1993737015095,96,96.0,14.0,0.0,36079.99999999981,36079.99999999981,10005245.0
2017-04-05,162.4,1.0,1000.0,0.79,1.624,1624.0,1282.96,1282.96,14.76154132623725,125065.5625,97.48204347758309,143.89852133603992,103,103.0,7.0,0.0,-12479.999999999563,-12479.999999999563,9978335.000000002
2017-04-06,162.39,1.0,1000.0,0.77,1.6239,1623.8999999999999,1250.403,1250.403,15.045552049566894,124729.18750000003,99.7511902162743,150.08117244052028,107,107.0,4.0,0.0,-1030.0000000019907,-1030.0000000019907,9944245.0
2017-04-07,162.85,1.0,1000.0,0.75,1.6285,1628.5,1221.375,1221.375,15.935820131476554,124303.0625,101.77305291167741,162.18370654317374,116,116.0,9.0,0.0,49220.00000000085,49220.00000000085,9985635.0
2017-04-10,162.99,1.0,1000.0,0.73,1.6299000000000001,1629.9,1189.827,1189.827,16.447200196788906,124820.4375,104.90637504443923,172.54161522753117,123,123.0,7.0,0.0,16240.000000001713,16240.000000001713,9988615.000000002
2017-04-11,163.21,1.0,1000.0,0.71,1.6321,1632.1000000000001,1158.791,1158.791,17.013465572099047,124857.68750000003,107.74823717132773,183.31709235687472,131,131.0,8.0,0.0,27059.99999999986,27059.99999999986,10021195.000000002
2017-04-12,163.25,1.0,1000.0,0.69,1.6325,1632.5,1126.425,1126.425,17.187804333286618,125264.93750000003,111.20575049381897,191.1382680224052,136,136.0,5.0,0.0,5239.999999998958,5239.999999998958,10049685.000000002
2017-05-01,161.78,1.0,1000.0,0.71,1.6178000000000001,1617.8000000000002,1148.6380000000001,1148.6380000000001,10.999680722587184,125621.06250000003,109.36523299768945,120.29826451259405,86,86.0,-50.0,0.0,-199919.99999999985,-199919.99999999985,9800125.000000002
2017-05-02,161.69,1.0,1000.0,0.69,1.6169,1616.9,1115.661,1115.661,10.700810216708026,122501.56250000003,109.80177894539652,117.49679979516154,84,84.0,-2.0,0.0,-7740.000000000293,-7740.000000000293,9808195.000000002
2017-05-03,161.69,1.0,1000.0,0.67,1.6169,1616.9,1083.323,1083.323,10.622000312505394,122602.43750000003,113.17256026134405,120.21189704630319,86,86.0,2.0,0.0,0.0,0.0,9819925.000000002
2017-05-04,160.9,1.0,1000.0,0.67,1.609,1609.0,1078.03,1078.03,8.742019226634092,122749.06250000003,113.86423615298278,99.54033416753802,71,71.0,-15.0,0.0,-67939.99999999932,-67939.99999999932,9759005.000000004
2017-05-05,160.46,1.0,1000.0,0.65,1.6046,1604.6000000000001,1042.9900000000002,1042.9900000000002,6.968945749594855,121987.56250000006,116.95947468336229,81.50842339694647,58,58.0,-13.0,0.0,-31239.99999999984,-31239.99999999984,9781315.000000004
2017-05-08,160.46,1.0,1000.0,0.64,1.6046,1604.6000000000001,1026.9440000000002,1026.9440000000002,6.355686090637538,122266.43750000006,119.05852461283189,75.66986088536025,54,54.0,-4.0,0.0,0.0,0.0,9821320.000000004
2017-05-09,160.29,1.0,1000.0,0.62,1.6029,1602.9,993.798,993.798,5.763830335055408,122766.50000000006,123.53264949215037,71.20212325126234,51,51.0,-3.0,0.0,-9180.000000000859,-9180.000000000859,9775570.000000004
2017-05-10,160.6,1.0,1000.0,0.6,1.6059999999999999,1605.9999999999998,963.5999999999998,963.5999999999998,6.604437905352206,122194.62500000006,126.81052822748038,83.75122594233073,60,60.0,9.0,0.0,15810.000000000116,15810.000000000116,9802105.000000004
2017-05-11,160.42,1.0,1000.0,0.59,1.6041999999999998,1604.1999999999998,946.4779999999998,946.4779999999998,6.467868978644569,122526.31250000006,129.45500318021135,83.7297999199623,60,60.0,0.0,0.0,-10800.00000000041,-10800.00000000041,9667330.000000002
2017-05-12,160.88,1.0,1000.0,0.57,1.6088,1608.8,917.0159999999998,917.0159999999998,8.01800185709513,120841.62500000003,131.77700825285496,105.65882968938315,75,75.0,15.0,0.0,27600.000000000477,27600.000000000477,9623530.000000002
2017-06-01,162.28,1.0,1000.0,0.59,1.6228,1622.8,957.4519999999999,957.4519999999999,16.10033652003047,120294.12500000003,125.63984930837269,202.28438541907178,144,144.0,69.0,0.0,105000.00000000042,105000.00000000042,9677410.000000002
2017-06-02,162.69,1.0,1000.0,0.57,1.6269,1626.9,927.333,927.333,17.277474726041824,120967.62500000003,130.4468028205618,225.37913388252178,161,161.0,17.0,0.0,59039.999999999505,59039.999999999505,9741840.000000002
2017-06-05,164.49,1.0,1000.0,0.61,1.6449,1644.9,1003.389,1003.389,20.0,121773.00000000003,121.36170518114115,242.72341036228232,173,173.0,12.0,0.0,289800.0000000018,289800.0000000018,10034205.000000004
2017-06-06,164.93,1.0,1000.0,0.59,1.6493000000000002,1649.3000000000002,973.0870000000001,973.0870000000001,20.0,125427.56250000006,128.89655549812096,257.7931109962419,184,184.0,11.0,0.0,76119.9999999996,76119.9999999996,10156655.000000004
2017-06-07,165.0,1.0,1000.0,0.58,1.6500000000000001,1650.0000000000002,957.0000000000001,957.0000000000001,20.0,126958.18750000006,132.66268286311393,265.32536572622786,189,189.0,5.0,0.0,12879.999999998745,12879.999999998745,10149205.000000002
2017-06-08,164.97,1.0,1000.0,0.56,1.6497,1649.7,923.8320000000001,923.8320000000001,20.0,126865.06250000003,137.324819339447,274.649638678894,196,196.0,7.0,0.0,-5670.000000000215,-5670.000000000215,10210205.000000002
2017-06-09,164.87,1.0,1000.0,0.55,1.6487,1648.7,906.7850000000001,906.7850000000001,-4.327364553804759,127627.56250000003,140.74732433818383,-60.90649823839185,-43,-43.0,-239.0,0.0,-19599.999999998887,-19599.999999998887,10224660.000000002
2017-06-12,165.1,1.0,1000.0,0.53,1.651,1651.0,875.0300000000001,875.0300000000001,-4.048382295748421,127808.25000000003,146.0615636035336,-59.13130481818773,-42,-42.0,1.0,0.0,-9889.99999999956,-9889.99999999956,10236145.000000002
2017-07-03,161.65,1.0,1000.0,0.72,1.6165,1616.5,1163.8799999999999,1163.8799999999999,-20.0,127951.81250000003,109.93557110698701,-219.871142213974,-157,-157.0,-115.0,0.0,144899.99999999953,144899.99999999953,10230800.000000002
2017-07-04,161.85,1.0,1000.0,0.7,1.6185,1618.5,1132.9499999999998,1132.9499999999998,-20.0,127885.00000000003,112.87788516704184,-225.75577033408368,-161,-161.0,-4.0,0.0,-31399.999999998214,-31399.999999998214,10204150.000000004
2017-07-05,161.93,1.0,1000.0,0.68,1.6193000000000002,1619.3000000000002,1101.1240000000003,1101.1240000000003,-19.87067180027386,127551.87500000006,115.83788474322604,-230.17765897705954,-164,-164.0,-3.0,0.0,-12880.000000002014,-12880.000000002014,10179195.000000002
2017-07-06,160.5,1.0,1000.0,0.7,1.605,1605.0,1123.5,1123.5,-20.0,127239.93750000003,113.25317089452606,-226.5063417890521,-162,-162.0,2.0,0.0,234520.0000000011,234520.0000000011,10391885.000000004
2017-07-07,160.49,1.0,1000.0,0.68,1.6049000000000002,1604.9000000000003,1091.3320000000003,1091.3320000000003,-20.0,129898.56250000006,119.02753928227159,-238.05507856454318,-170,-170.0,-8.0,0.0,1619.9999999985266,1619.9999999985266,10430075.000000002
2017-07-10,160.94,1.0,1000.0,0.67,1.6094,1609.3999999999999,1078.298,1078.298,-20.0,130375.93750000003,120.90900428267513,-241.81800856535023,-173,-173.0,-3.0,0.0,-76499.99999999806,-76499.99999999806,10337915.000000004
2017-07-11,160.69,1.0,1000.0,0.65,1.6069,1606.9,1044.4850000000001,1044.4850000000001,-20.0,129223.93750000006,123.72024251185995,-247.44048502371987,-177,-177.0,-4.0,0.0,43250.0,43250.0,10383715.000000004
2017-07-12,161.42,1.0,1000.0,0.64,1.6141999999999999,1614.1999999999998,1033.088,1033.088,-19.734429914712383,129796.43750000006,125.6392848431112,-247.94196612709638,-177,-177.0,0.0,0.0,-129209.9999999982,-129209.9999999982,10390705.000000006
2017-08-01,162.8,1.0,1000.0,0.65,1.6280000000000001,1628.0,1058.2,1058.2,-13.265752805823142,129883.81250000007,122.74032555282561,-162.82428180900422,-116,-116.0,61.0,0.0,-244260.00000000422,-244260.00000000422,9846730.0
2017-08-02,162.86,1.0,1000.0,0.63,1.6286000000000003,1628.6000000000004,1026.0180000000003,1026.0180000000003,-12.31960583572655,123084.125,119.96292950026215,-147.78960063422824,-105,-105.0,11.0,0.0,-6960.000000000264,-6960.000000000264,9819450.0
2017-08-03,163.3,1.0,1000.0,0.61,1.6330000000000002,1633.0000000000002,996.1300000000001,996.1300000000001,-10.82074842069075,122743.125,123.21998634716351,-133.33324726636053,-95,-95.0,10.0,0.0,-46199.99999999976,-46199.99999999976,9773190.0
2017-08-04,163.13,1.0,1000.0,0.6,1.6313,1631.3,978.78,978.78,-10.85323551292184,122164.875,124.81341568074542,-135.4629395555342,-97,-97.0,-2.0,0.0,16150.000000001512,16150.000000001512,9786090.000000002
2017-08-07,163.3,1.0,1000.0,0.58,1.6330000000000002,1633.0000000000002,947.1400000000001,947.1400000000001,-10.455046447241568,122326.12500000003,129.1531610955086,-135.03022980616151,-96,-96.0,1.0,0.0,-16490.000000001543,-16490.000000001543,9769550.0
2017-08-08,163.13,1.0,1000.0,0.57,1.6313,1631.3,929.8409999999999,929.8409999999999,-10.939968996137983,122119.375,131.33360972467338,-143.67856185388126,-102,-102.0,-6.0,0.0,16320.000000001528,16320.000000001528,9784790.000000002
2017-08-09,163.9,1.0,1000.0,0.56,1.639,1639.0,917.84,917.84,-9.142950144306898,122309.87500000003,133.25838381417242,-121.83747595238917,-87,-87.0,15.0,0.0,-78540.00000000105,-78540.00000000105,9706250.0
2017-08-10,164.11,1.0,1000.0,0.54,1.6411000000000002,1641.1000000000001,886.1940000000002,886.1940000000002,-7.912620347658921,121328.125,136.90921513799458,-108.33106414829088,-77,-77.0,10.0,0.0,-18270.00000000069,-18270.00000000069,9688085.0
2017-08-11,164.54,1.0,1000.0,0.53,1.6454,1645.3999999999999,872.062,872.062,-6.421442461860886,121101.0625,138.86749164623615,-89.17296074292527,-64,-64.0,13.0,0.0,-33109.999999998334,-33109.999999998334,9656775.000000002
2017-09-01,164.86,1.0,1000.0,0.52,1.6486,1648.6000000000001,857.272,857.272,-6.480512448821232,120709.68750000003,140.80675386575092,-91.24999213051059,-65,-65.0,-1.0,0.0,-20480.000000001382,-20480.000000001382,9641245.0
2017-09-04,162.16,1.0,1000.0,0.64,1.6216,1621.6,1037.824,1037.824,-15.86964414938882,120515.5625,116.12331426137764,-184.28356747757113,-131,-131.0,-66.0,0.0,175500.0000000011,175500.0000000011,9805230.000000002
2017-09-05,162.64,1.0,1000.0,0.63,1.6263999999999998,1626.3999999999999,1024.6319999999998,1024.6319999999998,-16.862142101308493,122565.37500000003,119.61892172018837,-201.70312560511132,-144,-144.0,-13.0,0.0,-62879.99999999866,-62879.99999999866,9719580.000000004
2017-09-06,162.57,1.0,1000.0,0.61,1.6257,1625.6999999999998,991.6769999999999,991.6769999999999,-17.306005860900097,121494.75000000006,122.51443766468323,-212.02355762698875,-151,-151.0,-7.0,0.0,10079.999999999018,10079.999999999018,9730220.000000002
2017-09-07,163.18,1.0,1000.0,0.6,1.6318000000000001,1631.8000000000002,979.08,979.08,-16.02878564421182,121627.75000000003,124.22656984107532,-199.1201059298305,-142,-142.0,9.0,0.0,-92110.00000000207,-92110.00000000207,9638470.0
2017-09-08,162.96,1.0,1000.0,0.58,1.6296000000000002,1629.6000000000001,945.168,945.168,-5.530687261317109,120480.875,127.47032802634028,-70.49985194111935,-50,-50.0,92.0,0.0,31239.99999999984,31239.99999999984,9672375.0
2017-09-11,162.77,1.0,1000.0,0.57,1.6277000000000001,1627.7,927.789,927.789,-5.922173932846977,120904.6875,130.31485337722262,-77.17472277333637,-55,-55.0,-5.0,0.0,9499.999999999887,9499.999999999887,9655475.0
