Date,FinalForecast,Multiplier,CARRY_forecast,ewma_EWMA004_forecast,ewma_EWMA008_forecast,ewma_EWMA016_forecast,_sharpe_results_forecast
2024-12-16,-13.400501195890982,1.350928767700657,11.288755953654045,-11.0334558588117,-13.30697664092116,-13.169195419806112,-13.169195419806112
2024-12-17,-10.652451458276705,1.3521748203642765,1.2485029346751952,-11.858725115777805,-13.842957021634302,-13.618791408427647,-13.618791408427647
2024-12-18,-13.982671766658868,1.3525310152478554,1.0860806454521206,-15.032404699616292,-14.190694831972356,-12.903569699309806,-12.903569699309806
2024-12-19,-14.590527693329154,1.3523732835268123,1.395705395053107,-17.132388372357152,-15.902084735026705,-14.066798433200177,-14.066798433200177
2024-12-20,-16.139038530475744,1.3500418332302788,1.420706274841477,-16.262714579902543,-16.438601901071415,-14.773914899492876,-14.773914899492876
2024-12-23,-16.4370181581512,1.3510964736863347,1.742047751559335,-16.195767835713998,-17.161581862140174,-15.591812267156651,-15.591812267156651
2024-12-24,-16.96972052228978,1.3511154945881045,1.7911291222687962,-15.637260573053227,-17.67890053473637,-16.40645714692961,-16.40645714692961
2024-12-25,-17.400522132419567,1.3522752231521216,1.826950406822804,-15.784992189617054,-18.27596898706428,-17.17910795148091,-17.17910795148091
2024-12-26,-18.016750444953082,1.352766782636105,1.8767649604027044,-15.738399634469346,-18.85428625383401,-18.02939024744176,-18.02939024744176
2024-12-27,-18.61066562331291,1.3530168243774765,1.929258452443246,-15.336584921707376,-19.252877924172115,-18.829564385003405,-18.829564385003405
2024-12-30,-19.022352259255594,1.3525691586865582,1.9824579574312056,-14.253341934034724,-19.29685174496329,-19.49182258068031,-19.49182258068031
2024-12-31,-19.085273140410628,1.352579701599365,2.038312771880181,-13.145301647216902,-19.20728787131424,-20.0,-20.0
2025-01-01,-19.046403453677964,1.354376688130063,2.0336267471861733,-13.88220473252714,-19.336976614413075,-20.0,-20.0
2025-01-02,-19.277869858105184,1.3540577134291085,1.7418827249104758,-13.782598263481924,-19.63526022780592,-20.0,-20.0
2025-01-03,-19.373307555176495,1.3514505626210365,1.76446080898615,-11.507290428280658,-18.82805299769084,-20.0,-20.0
2025-01-06,-18.499612574307815,1.3489408235883906,1.7831134880949155,-8.112578497680122,-17.318538825541005,-20.0,-20.0
2025-01-07,-17.173607335360717,1.3491080867082046,1.833141354962865,-6.167500032483683,-16.330331087641625,-20.0,-20.0
2025-01-08,-16.393098738946623,1.3511235944999913,2.20798104755434,-6.69839928993915,-15.887279835771125,-20.0,-20.0
2025-01-09,-16.326645205111117,1.352042701592986,2.2585509103564365,-7.713724173810974,-16.018677192049662,-20.0,-20.0
2025-01-10,-16.65858844395398,1.354932895899513,2.5189677452711154,-10.793828706652263,-16.309499789044576,-20.0,-20.0
2025-01-13,-17.49413568751811,1.3543631526462692,2.2167741657062536,-11.93148284345035,-17.054250961671343,-20.0,-20.0
2025-01-14,-18.04420094806537,1.3512417330981905,2.21459208422613,-9.681122142757475,-16.17995057035949,-20.0,-20.0
2025-01-15,-17.150843106146052,1.3473520402604027,2.520173927789385,-4.9911289995508525,-13.810802710523394,-19.96048680636697,-19.96048680636697
2025-01-16,-15.15728706671077,1.3484475478761293,2.203525557596983,-3.5740426189398598,-12.877126611138236,-19.817252942983476,-19.81725294298348
2025-01-17,-14.531550235358049,1.3484568038247164,2.2656088470265536,-2.67552675026075,-12.150469703481802,-19.821066058639428,-19.821066058639428
2025-01-20,-14.087525209838288,1.349314677176681,2.316872133677279,-3.003580882610577,-11.82409229662233,-19.85715271062937,-19.85715271062937
2025-01-21,-14.0715181819783,1.347198611353701,2.43542781793152,1.6481185970368155,-8.36955020576356,-16.870490169319236,-16.870490169319236
2025-01-22,-10.242952257227024,1.3468005012391662,2.4934212164980942,4.803939333202278,-6.39305076712976,-16.158368315376155,-16.158368315376155
2025-01-23,-8.459759419047359,1.3465625339827971,2.191166049717908,7.068283944719868,-4.559826764935252,-15.424310942987791,-15.424310942987791
2025-01-24,-7.042449356726313,1.3466001985859959,2.211668076920204,9.66965752980466,-2.372698944195071,-14.264121228563823,-14.264121228563823
2025-01-27,-5.1301241580356045,1.3486403230849475,2.584874905039796,8.5393485215307,-1.5368953813233794,-13.434820374418312,-13.434820374418312
2025-01-28,-4.66781901666255,1.3504613348689878,2.219352564372061,5.500648940487455,-1.7299400142001715,-12.99084464164094,-12.99084464164094
2025-01-29,-5.4039284085617405,1.3515478740945595,2.9939827877496783,2.0557694862227947,-2.519406302403496,-12.939156028596829,-12.939156028596829
2025-01-30,-6.310573454955645,1.3514182417030876,3.074232723528337,0.5708370709156926,-2.9397333617249903,-12.984388280692649,-12.984388280692649
2025-01-31,-6.832926947705751,1.35233501710491,3.4974189737778985,-1.911837872644873,-3.8562641306159215,-13.076070301902076,-13.076070301902076
2025-02-03,-7.694973523896944,1.353660991458475,3.8589681372994815,-5.468350326922353,-5.370319386074059,-13.255813022343832,-13.255813022343832
2025-02-04,-9.050210679083772,1.3511274891317442,3.361148753159721,-1.3695977687477352,-3.650879960681314,-10.976128713793305,-10.976128713793305
2025-02-05,-6.378069297152101,1.3506227807104305,3.0579884194012825,2.1575373221695946,-2.207930674978302,-10.29578540109631,-10.29578540109631
2025-02-06,-4.75026487204127,1.3507368707362382,3.142835513750051,3.778331529132203,-1.2309196808181886,-9.87929997075595,-9.87929997075595
2025-02-07,-3.801075405043529,1.3509312421542667,3.584116949476367,4.00574719425746,-0.6853444833632969,-9.569617473927671,-9.569617473927671
2025-02-10,-3.30551985929561,1.3508773116595965,3.3125318397219203,4.438311468241276,-0.0790526458838628,-9.221805495044956,-9.221805495044956
2025-02-11,-2.910132631899177,1.350808193640119,3.385627798172687,5.48675415159352,0.7865188787394691,-8.7102782757408,-8.7102782757408
2025-02-12,-2.0971283089967816,1.3509542189489916,3.4747777584487984,5.339377743115661,1.227005836216176,-8.363041277546953,-8.363041277546953
2025-02-13,-1.8062001872271867,1.3509509899303749,3.5422928039400987,6.211297159743701,2.0246847550500835,-7.810552737504374,-7.810552737504374
2025-02-14,-1.0383157917341443,1.3509777786059196,3.642095226758885,6.503741402708637,2.6349673807212595,-7.372444414834172,-7.372444414834172
2025-02-17,-0.5312606529850105,1.3524381628431457,3.3682415780224337,9.762626936401617,4.38533250018559,-5.665960015794515,-5.665960015794515
2025-02-18,1.6728781479635508,1.3525243698956744,3.835824159822978,10.84690889917879,5.600989068506428,-4.883568907362091,-4.883568907362091
2025-02-19,2.84484224699902,1.3525504871105416,3.549477546139145,11.048165690274413,6.497224407176086,-4.196360338786351,-4.196360338786351
2025-02-20,3.4412728364014784,1.3546028264387853,3.319645825521639,13.575153938977602,8.029503893675063,-2.6713127149307123,-2.6713127149307123
2025-02-21,5.308134082290366,1.3553828278659508,3.18628854224852,10.80641384867741,7.654943148766561,-2.026346860250723,-2.026346860250723
2025-02-24,4.769778236110202,1.3554394138515748,3.275481513105561,9.545107761835514,7.791750490130244,-1.5759376185718703,-1.5759376185718703
2025-02-25,4.733114413422046,1.3553804384332238,3.346791839144609,7.435114375974867,7.386706064723499,-1.31716327484404,-1.31716327484404
2025-02-26,4.210922966389375,1.3553642051965098,3.3232475385911098,3.458402789984456,5.865490031266043,-1.417323465052153,-1.417323465052153
2025-02-27,2.6605305710924823,1.3556852751766422,3.0438883263510794,-3.0168693331182226,2.6462006436459884,-2.0153204196225163,-2.0153204196225163
2025-02-28,-0.3681387888263898,1.35602268545927,2.6441448672919794,-8.837904830390805,-0.5402897790553371,-2.996633591362169,-2.996633591362169
2025-03-03,-3.4510179567497423,1.3557523463582197,2.6792704554436786,-10.150884761960992,-2.2310015234685903,-3.6781182071735534,-3.6781182071735534
2025-03-04,-4.62422576825658,1.3553742367962531,2.715437999647909,-8.913811964919956,-2.857897311090403,-4.034861134560218,-4.034861134560218
2025-03-05,-4.63547481021603,1.3533447849040767,2.318657914125253,-1.564509799923519,-0.7300673183101385,-2.8783385459205157,-2.878338545920516
2025-03-06,-1.5517020605328318,1.3534025251605806,2.6815255057676866,1.5916341467214363,0.4768098349538704,-2.4745595640419773,-2.4745595640419773
2025-03-07,-0.05391205284927695,1.353556367858906,2.4144158220861827,1.6913875901890765,0.7534060362995045,-2.318117025655227,-2.318117025655227
2025-03-10,0.060371253682742966,1.353764909120898,2.705164766171903,-0.6144606557369662,0.0223028270424096,-2.4877876129868564,-2.4877876129868564
2025-03-11,-0.7749762188214169,1.3536379585000082,2.704884831524079,0.3174416844916077,0.3475985557905539,-2.3055332297394164,-2.3055332297394164
2025-03-12,-0.336009787338022,1.3536321916075684,2.468449296999433,1.5399544267932208,0.8880234769475829,-2.083393361995041,-2.083393361995041
2025-03-13,0.19755110575059937,1.353756487239436,2.8049946035285886,0.4640931527910908,0.6030552034981723,-2.113303544534121,-2.113303544534121
2025-03-14,-0.09596899875117158,1.3537194716165475,2.799003132871296,2.055937113931879,1.2655087437162436,-1.770560978116427,-1.770560978116427
2025-03-17,0.6984375694649037,1.3539143353686627,20.0,6.317912938226799,3.119600339709822,-0.8202747031024519,-0.8202747031024519
2025-03-18,7.527182633617412,1.353957696306578,2.875184999119808,6.733734157628975,3.848324718185753,-0.3563889953070502,-0.3563889953070502
2025-03-19,3.451140694961177,1.3539761988798324,3.2841848716047246,6.645210556965997,4.3686177231400505,0.0282187590497549,0.0282187590497549
2025-03-20,3.886517017806283,1.3537672416751738,2.82384845520646,2.8296488100902177,3.18006497032965,-0.1302890158385136,-0.1302890158385136
2025-03-21,2.321069376912874,1.3537114508175758,2.860748650382642,-0.6427685852796262,1.827718404125027,-0.4921747824089266,-0.4921747824089266
2025-03-24,0.828860527115318,1.3537505083482295,2.9365136967494667,-2.051346280177407,0.9984136762637768,-0.7444418028638786,-0.7444418028638786
