Date,CL1_CL2_spread,CL1_CL2_spread_z
1990-01-05,-0.6400000000000006,
1990-01-12,1.1700000000000017,
1990-02-02,0.7100000000000009,
1990-02-09,0.00999999999999801,
1990-02-16,0.9799999999999969,
1990-03-02,0.7100000000000009,
1990-03-09,0.26000000000000156,
1990-03-16,0.5799999999999983,
1990-04-06,-0.629999999999999,
1990-04-13,0.7800000000000011,
1990-05-04,-0.33999999999999986,
1990-05-11,-0.060000000000002274,
1990-05-18,0.3999999999999986,
1990-06-08,2.6700000000000017,
1990-06-15,0.4499999999999993,
1990-07-06,-0.639999999999997,
1990-07-13,0.41999999999999815,
1990-08-03,-0.23000000000000043,
1990-08-10,1.1799999999999997,
1990-08-17,1.1600000000000037,
1990-09-07,-0.7900000000000027,
1990-09-14,0.980000000000004,
1990-10-05,-0.46000000000000085,
1990-10-12,0.379999999999999,
1990-11-02,0.9699999999999989,
1990-11-09,0.8900000000000006,
1990-11-16,0.5300000000000011,
1990-12-07,-0.7199999999999989,
1990-12-14,0.6900000000000013,
1991-01-04,0.08999999999999986,
1991-01-11,0.240000000000002,
1991-02-01,0.5899999999999999,
1991-02-08,0.030000000000001137,
1991-02-15,0.10999999999999943,
1991-03-01,0.6099999999999994,
1991-03-08,0.08999999999999986,
1991-03-15,0.07000000000000028,
1991-04-05,0.120000000000001,
1991-04-12,0.08000000000000185,
1991-05-03,0.41000000000000014,
1991-05-10,0.05000000000000071,
1991-05-17,0.07000000000000028,
1991-06-07,-0.09000000000000341,
1991-06-14,0.029999999999997584,
1991-07-05,0.21999999999999886,
1991-07-12,0.14000000000000057,
1991-08-02,1.5100000000000016,
1991-08-09,0.09999999999999787,
1991-08-16,0.14000000000000057,
1991-09-06,0.10000000000000142,
1991-09-13,0.010000000000001563,
1991-10-04,0.3200000000000003,0.005924813908506842
1991-10-11,0.1700000000000017,-0.2689169908899418
1991-10-18,-0.05000000000000071,-0.6049712066784696
1991-11-01,1.0500000000000007,1.2272781921119338
1991-11-08,0.11999999999999744,-0.3296346610292495
1991-11-15,-0.06999999999999673,-0.6188986511568207
1991-12-06,-0.129999999999999,-0.6928925585700058
1991-12-13,0.019999999999999574,-0.4312858278168097
1992-01-03,0.0,-0.4464597382677909
1992-01-10,0.08999999999999986,-0.3253018155401097
1992-01-17,-0.029999999999997584,-0.5076714352143734
1992-02-07,0.09999999999999787,-0.3003027712162785
1992-02-14,-0.019999999999999574,-0.511873250520583
1992-03-06,0.05999999999999872,-0.3601431170409172
1992-03-13,-0.07000000000000028,-0.6136077131552777
1992-04-03,-0.16000000000000014,-0.780423222038927
1992-04-10,0.16000000000000014,-0.12712004168613306
1992-04-17,-0.08999999999999986,-0.6619646482563695
1992-05-08,0.08999999999999986,-0.27706891941527306
1992-05-15,-0.07000000000000028,-0.6099979843700395
1992-06-05,-0.08000000000000185,-0.607859718749081
1992-06-12,-0.10999999999999943,-0.7539630126799062
1992-07-03,-0.019999999999999574,-0.48930016473847
1992-07-10,0.07000000000000028,-0.2793097079412705
1992-07-17,-0.05999999999999872,-0.6205289236928375
1992-08-07,0.030000000000001137,-0.3343852057746002
1992-08-14,-0.10000000000000142,-0.6947575732027395
1992-09-04,-0.010000000000001563,-0.38883791192247974
1992-09-11,-0.08999999999999986,-0.7273028019767732
1992-09-18,-0.10999999999999943,-0.7668118881752729
1992-10-02,-0.09999999999999787,-0.7156068740677314
1992-10-09,0.129999999999999,0.08880100724012525
1992-10-16,-0.09999999999999787,-0.6802020099228455
1992-11-06,0.0,-0.3221270268223117
1992-11-13,-0.129999999999999,-0.7635906281802379
1992-12-04,-0.19000000000000128,-0.9461053161429487
1992-12-11,-0.08999999999999986,-0.568637547670303
1993-01-01,-0.10999999999999943,-0.6260277824974649
1993-01-08,-0.28000000000000114,-1.1942528200904092
1993-01-15,-0.2400000000000002,-1.0195030281042534
1993-02-05,-0.17999999999999972,-0.7764348990046885
1993-02-12,-0.28000000000000114,-1.0959101914282416
1993-03-05,-0.14999999999999858,-0.6222821948205802
1993-03-12,-0.2699999999999996,-1.020910910248894
1993-04-02,-0.00999999999999801,-0.11667913914078666
1993-04-09,-0.3099999999999987,-1.112654133613955
1993-04-16,-0.21000000000000085,-0.7428028151999727
1993-05-07,-0.33000000000000185,-1.4744836476180314
1993-05-14,-0.19000000000000128,-0.7607743810559341
1993-06-04,-0.18999999999999773,-0.7311810358600833
1993-06-11,-0.1999999999999993,-0.7511922161093947
1993-06-18,-0.28999999999999915,-1.1484213450556495
1993-07-02,-0.16000000000000014,-0.49122600798912824
1993-07-09,-0.3500000000000014,-1.3792750692533189
1993-07-16,-0.2900000000000009,-1.0478671013341345
1993-08-06,-0.240000000000002,-1.0753381771496067
1993-08-13,-0.3100000000000005,-1.5599004504545269
1993-09-03,-0.08000000000000185,0.22698616547567227
1993-09-10,-0.39000000000000057,-2.0500327979313964
1993-09-17,-0.3099999999999987,-1.394453634509936
1993-10-08,-0.379999999999999,-1.808559735688301
1993-10-15,-0.28999999999999915,-1.1241968440864865
1993-11-05,-0.1700000000000017,-0.2344619399401698
1993-11-12,-0.2900000000000027,-1.0764391880580686
1993-12-03,-0.120000000000001,0.2049709325774115
1993-12-10,-0.17999999999999972,-0.21593778899458016
1993-12-17,-0.3200000000000003,-1.2411411966876147
1994-01-07,0.5400000000000027,4.1863936017890815
1994-01-14,0.05000000000000071,1.2220469688095437
1994-02-04,-0.120000000000001,0.16253048002172324
1994-02-11,0.28999999999999915,2.576196251172631
1994-02-18,0.0,0.8349171534626731
1994-03-04,-0.11999999999999922,0.12789218576716446
1994-03-11,0.3099999999999987,2.468477505306561
1994-04-01,-0.3000000000000007,-0.8934274204634769
1994-04-08,0.4299999999999997,2.8834916832841904
1994-04-15,0.25,1.8635937312839572
1994-05-06,0.28999999999999915,1.9683914106158764
1994-05-13,-0.00999999999999801,0.5218116085484923
1994-06-03,-0.2400000000000002,-0.5555994600786431
1994-06-10,-0.120000000000001,0.0202087524133312
1994-06-17,0.0,0.5813509845187471
1994-07-01,-0.2400000000000002,-0.5468115602977126
1994-07-08,0.5600000000000023,2.9602517841181313
1994-07-15,-0.03999999999999915,0.32951086717531475
1994-08-05,0.0,0.5043533681254759
1994-08-12,-0.03999999999999915,0.3216256137374813
1994-09-02,-0.16999999999999993,-0.2478506509565443
1994-09-09,-0.14000000000000057,-0.11258037419314265
1994-09-16,-0.0400000000000027,0.31809648059643614
1994-10-07,0.5800000000000018,2.736508497510922
1994-10-14,0.10000000000000142,0.7660384336880489
1994-11-04,0.009999999999999787,0.3879938763519397
1994-11-11,0.0,0.32757467333392826
1994-12-02,-0.27999999999999936,-0.7934665331776325
1994-12-09,-0.16999999999999815,-0.35914490402372923
1994-12-16,-0.03999999999999915,0.1699271802614779
1995-01-06,0.11999999999999744,0.7868170033672138
1995-01-13,0.3000000000000007,1.4513082834096245
1995-02-03,0.17999999999999972,0.9359260293198643
1995-02-10,0.3000000000000007,1.3565522331776685
1995-02-17,0.3099999999999987,1.3379315129580458
1995-03-03,0.2099999999999973,0.9155654609001311
1995-03-10,0.29999999999999716,1.2137457666514289
1995-03-17,0.2900000000000027,1.1308310710060847
1995-04-07,0.14999999999999858,0.5693446487228413
1995-04-14,0.3299999999999983,1.2155776269234235
1995-05-05,0.25,0.8728875307605285
1995-05-12,0.3400000000000034,1.175388636550369
1995-06-02,0.25,0.7989351817920973
1995-06-09,0.33999999999999986,1.1094439571444468
1995-06-16,0.3999999999999986,1.2961086403933912
1995-07-07,0.1999999999999993,0.4800321597106257
1995-07-14,0.370000000000001,1.129024906451822
1995-08-04,0.09999999999999787,0.002390101777284973
1995-08-11,0.28999999999999915,0.7590408231318782
1995-08-18,0.39000000000000057,1.1366314183137776
1995-09-01,0.04999999999999716,-0.32022223481306195
1995-09-08,0.21000000000000085,0.3329836850710731
1995-09-15,0.28999999999999915,0.7297024982279933
1995-10-06,0.21000000000000085,0.3504022426797188
1995-10-13,0.2799999999999976,0.6409554091275631
1995-11-03,0.09999999999999787,-0.17275103511788592
1995-11-10,0.23000000000000043,0.4096978847625077
1995-11-17,0.28999999999999915,0.6585459483422648
1995-12-01,0.0799999999999983,-0.3072727557436878
1995-12-08,0.2799999999999976,0.608041525482598
1995-12-15,0.3099999999999987,0.7764556262831885
1996-01-05,0.9100000000000001,3.2846004488006
1996-01-12,0.2900000000000027,0.5447422736562051
1996-02-02,0.4200000000000017,1.0766516051607737
1996-02-09,0.5399999999999991,1.5530537298467446
1996-02-16,0.5300000000000011,1.4500340988448597
1996-03-01,0.5500000000000007,1.4710002359121341
1996-03-08,0.8499999999999979,2.604257019831671
1996-03-15,0.6000000000000014,1.5365894107839693
1996-04-05,1.6699999999999982,4.566816053993932
1996-04-12,0.5399999999999991,0.853266496737243
1996-05-03,0.9399999999999977,2.028798370991424
1996-05-10,0.6600000000000001,1.1058730983255618
1996-05-17,0.639999999999997,1.0054126941610801
1996-06-07,0.8100000000000023,1.4878349219481095
1996-06-14,0.6000000000000014,0.8149900893532586
1996-07-05,0.9899999999999984,1.9399056356068556
1996-07-12,0.10999999999999943,-0.7876762116140469
1996-08-02,0.43000000000000327,0.18263035115748602
1996-08-09,0.5399999999999991,0.4991881125968799
1996-08-16,0.1999999999999993,-0.6580691443369471
1996-09-06,0.75,1.158281741981721
1996-09-13,0.5,0.28426830839030204
1996-10-04,2.1099999999999994,4.442074669399617
1996-10-11,0.3100000000000023,-0.38896304590545555
1996-10-18,0.46000000000000085,0.006217612570568954
1996-11-01,0.3999999999999986,-0.16031634365618672
1996-11-08,0.7399999999999984,0.7288876973816223
1996-11-15,0.4499999999999993,-0.060779153560401186
1996-12-06,0.8000000000000007,0.8539789635597737
1996-12-13,0.48999999999999844,0.0031266572365644136
1997-01-03,0.6800000000000033,0.4994223054128537
1997-01-10,0.030000000000001137,-1.2355974821858007
1997-01-17,-0.28000000000000114,-1.9576662904634274
1997-02-07,0.0,-1.2096867409154637
1997-02-14,-0.2699999999999996,-1.80801538297665
1997-03-07,0.0,-1.1093198638752573
1997-03-14,-0.23000000000000043,-1.6124828531396416
1997-04-04,-0.09999999999999787,-1.2611697269709494
1997-04-11,-0.15000000000000213,-1.3504755743878543
1997-04-18,-0.25,-1.523147240474232
1997-05-02,0.39000000000000057,-0.07402373667255956
1997-05-09,-0.10000000000000142,-1.1691365917867342
1997-05-16,-0.2699999999999996,-1.4992844407988193
1997-06-06,-0.3200000000000003,-1.546364615304453
1997-06-13,-0.21000000000000085,-1.2733438327161855
1997-07-04,-0.09999999999999787,-1.0146661566889565
1997-07-11,-0.1700000000000017,-1.1396822470673307
1997-08-01,0.6900000000000013,0.6277150602575984
1997-08-08,-0.1999999999999993,-1.1809124654933876
1997-08-15,-0.25,-1.254655992163011
1997-09-05,0.019999999999999574,-0.6962011077786203
1997-09-12,-0.25,-1.1997985443921486
1997-10-03,-0.060000000000002274,-0.7910680932489588
1997-10-10,-0.03999999999999915,-0.7346292716726744
1997-10-17,-0.2699999999999996,-1.1491639301910552
1997-11-07,-0.16000000000000014,-0.9018946200814004
1997-11-14,-0.25,-1.0383783147034678
1997-12-05,0.11999999999999744,-0.3099265906185942
1997-12-12,-0.23000000000000043,-0.9483516993337516
1998-01-02,-0.18999999999999773,-0.8391924010113193
1998-01-09,-0.2400000000000002,-0.9306540583694305
1998-01-16,-0.4399999999999995,-1.2912633940805516
1998-02-06,-0.620000000000001,-1.5962911948998881
1998-02-13,-0.35999999999999943,-1.0234105254243329
1998-03-06,-0.6199999999999992,-1.4885388552672127
1998-03-13,-0.370000000000001,-0.9469108347594508
1998-04-03,-0.33000000000000007,-0.831676046824457
1998-04-10,-0.17999999999999972,-0.4937361573771795
1998-04-17,-0.33999999999999986,-0.8104169456302713
1998-05-01,-0.25,-0.5944536870603744
1998-05-08,-0.3800000000000008,-0.8365363027582966
1998-05-15,-0.1899999999999995,-0.41575328602736533
1998-06-05,-0.7200000000000006,-1.4890929696189907
1998-06-12,-0.21000000000000085,-0.37440414861990384
1998-07-03,-0.19000000000000128,-0.3118242890020535
1998-07-10,-0.16999999999999993,-0.23101435111177845
1998-07-17,-0.34999999999999964,-0.7218070003760432
1998-08-07,-0.4399999999999995,-0.9530088092862067
1998-08-14,-0.379999999999999,-0.756899657780599
1998-09-04,-0.34999999999999964,-0.6324482553609948
1998-09-11,-0.23999999999999844,-0.2262697218900341
1998-09-18,-0.41000000000000014,-0.8386685384312386
1998-10-02,-0.23000000000000043,-0.07334124711834361
1998-10-09,-0.1999999999999993,0.08208792952441259
1998-10-16,-0.4900000000000002,-1.1997898132536537
1998-11-06,-1.17,-3.6024334368821047
1998-11-13,-0.5200000000000014,-1.041938061967156
1998-12-04,-0.370000000000001,-0.44014872544531664
1998-12-11,-0.2599999999999998,-0.011191393573523783
1999-01-01,-0.1399999999999988,0.4580991640189967
1999-01-08,0.010000000000001563,1.0200755929513183
1999-01-15,0.7300000000000004,3.2930562200434137
1999-02-05,0.030000000000001137,0.9666107841452155
1999-02-12,0.75,3.1137806582805014
1999-03-05,0.370000000000001,1.8017527968992249
1999-03-12,0.7099999999999973,2.5971138513249397
1999-04-02,-0.16000000000000014,0.09608019248004505
1999-04-09,-0.10999999999999943,0.24023487650659398
1999-04-16,0.129999999999999,0.9054224654495113
1999-05-07,0.030000000000001137,0.6986561401542044
1999-05-14,0.120000000000001,0.9441847513113913
1999-06-04,0.00999999999999801,0.5968796241364621
1999-06-11,0.17999999999999972,1.0877205104501735
1999-06-18,0.8599999999999994,2.796345105524547
1999-07-02,-0.019999999999999574,0.3931960353679365
1999-07-09,0.00999999999999801,0.4718483795159598
1999-07-16,0.7300000000000004,2.2575763873180787
1999-08-06,-0.08999999999999986,0.1360774322730955
1999-08-13,0.6499999999999986,1.9280586697632132
1999-09-03,-0.05000000000000071,0.19623574582313197
1999-09-10,-0.019999999999999574,0.26099700105063456
1999-09-17,0.6899999999999977,1.916176698705527
1999-10-08,-0.08999999999999986,0.035605819843929284
1999-10-15,0.5199999999999996,1.4369403439868875
1999-11-05,0.07000000000000028,0.3442148214579148
1999-11-12,0.11999999999999744,0.44354455142998567
1999-12-03,0.0,0.12756524709855252
1999-12-10,0.0,0.11074871369728492
1999-12-17,0.14000000000000057,0.4357835340321255
2000-01-07,0.8300000000000018,2.0140349445904198
2000-01-14,0.8500000000000014,1.941599032027959
2000-02-04,1.610000000000003,3.223386887834406
2000-02-11,1.259999999999998,2.3213397788441226
2000-03-03,1.490000000000002,2.535040802063753
2000-03-10,0.21999999999999886,0.17954006551220641
2000-03-17,1.1600000000000001,1.8348043798604274
2000-04-07,1.370000000000001,2.0748216825668817
2000-04-14,0.75,0.9571656268611825
2000-05-05,0.36999999999999744,0.27620516086552477
2000-05-12,0.5,0.4771779537690756
2000-06-02,0.5800000000000018,0.5908845986834677
2000-06-09,0.9200000000000017,1.151449567637375
2000-06-16,0.5400000000000027,0.4512585051051647
2000-07-07,1.1000000000000014,1.3967308574504531
2000-07-14,0.33999999999999986,0.021477189431991603
2000-08-04,1.7900000000000027,2.430358815688272
2000-08-11,0.9600000000000009,0.9776815020701538
2000-08-18,0.3500000000000014,-0.13734938976011807
2000-09-08,0.40000000000000213,-0.07945046262707836
2000-09-15,0.9400000000000048,0.929563597982944
2000-10-06,0.05000000000000071,-0.8401685551332224
2000-10-13,0.9600000000000009,0.9339938968771008
2000-11-03,1.0400000000000027,1.0526550479210632
2000-11-10,0.00999999999999801,-0.9706630241858449
2000-11-17,0.46000000000000085,-0.09540885183276031
2000-12-01,0.620000000000001,0.23009322834511245
2000-12-08,0.6799999999999997,0.33825612898167456
2000-12-15,0.5799999999999983,0.14312849935208027
2001-01-05,-0.389999999999997,-1.76901428443039
2001-01-12,-0.18999999999999773,-1.3648561735773572
2001-02-02,0.8000000000000007,0.5616828472734898
2001-02-09,0.6700000000000017,0.2830404249340018
2001-02-16,-0.21999999999999886,-1.4545464459299664
2001-03-02,0.7300000000000004,0.3855500160464884
2001-03-09,-0.15000000000000213,-1.326258990387684
2001-03-16,-0.3000000000000007,-1.5441878724377065
2001-04-06,-0.28000000000000114,-1.478363148881717
2001-04-13,-0.360000000000003,-1.5887154099010157
2001-05-04,-0.22999999999999687,-1.2930236013951604
2001-05-11,-0.21999999999999886,-1.2633442996134443
2001-05-18,-0.3500000000000014,-1.4361053045148382
2001-06-08,0.6099999999999994,0.2574161091762352
2001-06-15,-0.39000000000000057,-1.5054803086566726
2001-07-06,-0.39000000000000057,-1.4403044324353638
2001-07-13,-0.41000000000000014,-1.4456991380469724
2001-08-03,-0.23000000000000043,-1.0989642672789244
2001-08-10,-0.41000000000000014,-1.3669650850503867
2001-08-17,-0.1999999999999993,-0.9985390363579547
2001-09-07,0.3999999999999986,-0.01791092183858603
2001-09-14,-0.240000000000002,-1.0673382448565267
2001-10-05,-0.5800000000000018,-1.5690979319056855
2001-10-12,-0.41999999999999815,-1.2581001522389803
2001-11-02,1.1900000000000013,1.2869749071776175
2001-11-09,-0.16000000000000014,-0.8169592378036384
2001-11-16,-0.38000000000000256,-1.1356499880486792
2001-12-07,0.3500000000000014,0.10743150301331636
2001-12-14,-0.379999999999999,-1.1099684599375972
2002-01-04,-0.13000000000000256,-0.656913486159347
2002-01-11,0.41999999999999815,0.33534485507668776
2002-02-01,-0.21999999999999886,-0.7790572787839475
2002-02-08,0.5,0.5078706640714115
2002-02-15,0.1999999999999993,-0.01934482030742215
2002-03-01,-0.2699999999999996,-0.8321181632007719
2002-03-08,0.0799999999999983,-0.17906614303597052
2002-03-15,0.129999999999999,-0.07390648810740096
2002-04-05,-0.23000000000000043,-0.7031709450061596
2002-04-12,0.120000000000001,-0.03865532399621316
2002-05-03,-0.2799999999999976,-0.7907506887126605
2002-05-10,-0.030000000000001137,-0.23965322851712514
